,type,elevation_ft,continent,Longitude
350,small_airport,695.0,NA,-91.27429962158205
351,heliport,1332.0,NA,-97.37249755859376
352,heliport,1199.3771003119025,NA,-90.02780151367188
353,heliport,85.0,NA,-91.32019805908205
354,heliport,210.0,NA,-71.60900115966797
355,heliport,132.0,NA,-76.54630279541016
356,heliport,649.0,NA,-70.844275
357,heliport,978.0,NA,-84.39140319824219
358,small_airport,1463.0,NA,-92.4167022705
359,small_airport,755.0,NA,-94.8043975830078
360,small_airport,3541.0,NA,-112.10900115966795
361,small_airport,523.0,NA,-74.3916015625
362,small_airport,163.0,NA,-78.9302978515625
363,small_airport,2180.0,NA,-101.66899871826172
364,heliport,1015.0,NA,-95.86170196533205
365,small_airport,160.0,NA,-70.97309875488281
366,small_airport,5556.0,NA,-114.150277
367,small_airport,1100.0,NA,-76.44529724121094
368,heliport,1020.0,NA,-80.65699768066406
369,small_airport,1160.0,NA,-80.59120178222656
370,small_airport,915.0,NA,-84.3822021484375
371,heliport,900.0,NA,-94.83360290527344
372,small_airport,850.0,NA,-123.08000183105467
373,small_airport,1440.0,NA,-78.288152
374,heliport,727.0,NA,-76.772533
375,heliport,760.0,NA,-79.92130279541016
376,small_airport,289.0,NA,-96.24610137939452
377,small_airport,1340.0,NA,-97.25309753417967
378,small_airport,480.0,NA,-97.1168975830078
379,small_airport,129.0,NA,-95.0269012451172
380,small_airport,640.0,NA,-86.95690155029297
381,small_airport,215.0,NA,-95.81289672851562
382,small_airport,1160.0,NA,-78.85530090332031
383,heliport,2013.0,NA,-117.197998046875
384,small_airport,1075.0,NA,-92.45020294189452
385,small_airport,394.0,NA,-122.5530014038086
386,small_airport,546.0,NA,-97.04419708251952
387,small_airport,1068.0,NA,-96.1605987548828
388,small_airport,357.0,NA,-149.9549028
389,heliport,132.0,NA,-85.9791030883789
390,small_airport,300.0,NA,-92.80020141601562
391,small_airport,360.0,NA,-68.5697021484375
392,heliport,850.0,NA,-119.45099639892578
393,small_airport,100.0,NA,-121.77100372314452
394,small_airport,6620.0,NA,-104.427001953125
395,small_airport,764.0,NA,-82.72380065917969
396,small_airport,8.0,NA,-80.274803161621
397,heliport,18.0,NA,-81.8594970703125
398,small_airport,750.0,NA,-83.76309967041016
399,seaplane_base,538.0,NA,-86.44609832763672
400,small_airport,4580.0,NA,-113.30500030517578
401,heliport,740.0,NA,-85.64080047607422
402,small_airport,750.0,NA,-85.91390228271484
403,small_airport,1717.0,NA,-98.0516967773
404,small_airport,1321.0,NA,-96.93669891357422
405,small_airport,532.0,NA,-85.69329833984375
406,heliport,80.0,NA,-91.9889984131
407,heliport,149.0,NA,-70.70950317382812
408,small_airport,700.0,NA,-77.0519027709961
409,heliport,250.0,NA,-70.33920288085938
410,small_airport,1065.0,NA,-85.0239028930664
411,small_airport,1680.0,NA,-95.90950012207033
412,small_airport,880.0,NA,-93.6168975830078
413,small_airport,2762.0,NA,-106.52799987792967
414,small_airport,470.0,NA,-77.00389862060547
415,small_airport,625.0,NA,-80.7511978149414
416,seaplane_base,1404.0,NA,-72.06390380859375
417,heliport,10.0,NA,-73.994863
418,small_airport,5120.0,NA,-114.053472
419,heliport,1320.0,NA,-74.76499938964844
420,small_airport,1322.0,NA,-99.03369903564452
421,small_airport,250.0,NA,-122.62000274658205
422,small_airport,1690.0,NA,-78.125278
423,small_airport,1965.0,NA,-99.36009979248048
424,small_airport,30.0,NA,-95.344658
425,small_airport,39.0,NA,-97.51280212402344
426,small_airport,970.0,NA,-84.24109649658203
427,small_airport,690.0,NA,-97.5727996826172
428,heliport,660.0,NA,-96.447998046875
429,small_airport,4480.0,NA,-112.447222
430,small_airport,350.0,NA,-78.78309631347656
431,small_airport,801.0,NA,-72.91470336914062
432,heliport,2110.0,NA,-117.424477
