,Unnamed: 0,type,elevation_ft,continent,Longitude
8931,9759,small_airport,7760.0,NA,-106.59200286865234
8932,9760,small_airport,2717.0,NA,-103.643889
8933,9761,heliport,9.0,NA,-94.76599884033205
8934,9762,seaplane_base,0.0,NA,-133.121994
8935,9763,small_airport,720.0,NA,-149.25399780273438
8936,9764,heliport,351.0,NA,-87.743069
8937,9766,small_airport,235.0,NA,-121.58100128173828
8938,9767,small_airport,6370.0,NA,-104.15899658203124
8939,9768,small_airport,940.0,NA,-97.1083984375
8940,9769,heliport,110.0,NA,-81.45999908447266
8941,9770,small_airport,80.0,NA,-81.8915023803711
8942,9771,small_airport,775.0,NA,-84.5958023071289
8943,9772,small_airport,1000.0,NA,-83.6720962524414
8944,9773,small_airport,1275.0,NA,-95.47669982910156
8945,9774,heliport,680.0,NA,-90.03669739
8946,9775,heliport,445.0,NA,-87.28250122070312
8947,9776,heliport,632.0,NA,-89.64440155029297
8948,9777,small_airport,1060.0,NA,-94.75569915771484
8949,9778,heliport,745.0,NA,-85.48889923095703
8950,9779,small_airport,50.0,NA,-92.0551986694336
8951,9780,heliport,950.0,NA,-83.7355
8952,9781,heliport,862.0,NA,-92.572757
8953,9782,small_airport,1200.0,NA,-93.01629638671876
8954,9783,small_airport,3999.0,NA,-114.6760025024414
8955,9784,heliport,2120.0,NA,-82.14240264892578
8956,9785,small_airport,960.0,NA,-97.70809936523438
8957,9787,small_airport,2150.0,NA,-116.989964
8958,9789,heliport,1305.0,NA,-80.833427
8959,9790,heliport,1262.0,NA,-97.50029754638672
8960,9791,small_airport,3840.0,NA,-118.66200256347656
8961,9793,small_airport,550.0,NA,-75.34960174560547
8962,9794,heliport,80.0,NA,-95.52359771728516
8963,9795,heliport,14.0,NA,-95.3572006225586
8964,9796,small_airport,1450.0,NA,-82.5857627392
8965,9797,small_airport,300.0,NA,-95.53990173339844
8966,9798,small_airport,710.0,NA,-100.06700134277344
8967,9799,small_airport,2060.0,NA,-79.7134017944336
8968,9800,small_airport,722.0,NA,-119.15399932861328
8969,9801,small_airport,1145.0,NA,-90.86029815673828
8970,9802,heliport,5886.0,NA,-110.7770004272461
8971,9803,small_airport,741.0,NA,-96.479467
8972,9804,small_airport,1570.0,NA,-97.70870208740234
8973,9805,small_airport,1190.0,NA,-151.1820068359375
8974,9806,heliport,960.0,NA,-87.592292
8975,9807,heliport,245.0,NA,-118.445127
8976,9809,heliport,4882.0,NA,-104.70800018310548
8977,9810,seaplane_base,32.0,NA,-81.23310089111328
8978,9811,seaplane_base,90.0,NA,-81.49150085449219
8979,9812,small_airport,584.0,NA,-83.463875
8980,9813,small_airport,545.0,NA,-83.91239929199219
8981,9814,heliport,1174.0,NA,-96.48090362548828
8982,9815,heliport,238.0,NA,-116.48500061
8983,9816,heliport,490.0,NA,-89.11940002440001
8984,9817,small_airport,950.0,NA,-85.38860321044922
8985,9818,heliport,550.0,NA,-89.60510253910002
8986,9819,small_airport,2775.0,NA,-100.49199676513672
8987,9821,heliport,1001.0,NA,-117.791988
8988,9822,heliport,25.0,NA,-90.0886993408
8989,9823,small_airport,630.0,NA,-87.78359985351562
8990,9824,small_airport,170.0,NA,-70.525362
8991,9825,heliport,630.0,NA,-83.345278
8992,9826,small_airport,1446.0,NA,-94.87490082
8993,9827,small_airport,750.0,NA,-90.94239807128906
8994,9828,small_airport,4172.0,NA,-114.00299835205078
8995,9829,heliport,4826.0,NA,-81.86060333251953
8996,9830,small_airport,920.0,NA,-97.62229919433594
8997,9831,small_airport,1860.0,NA,-98.30449676513672
8998,9832,heliport,565.0,NA,-71.24009704589844
8999,9833,heliport,10.0,NA,-74.03510284423828
9000,9834,small_airport,6310.0,NA,-104.71800231933594
9001,9835,small_airport,1035.0,NA,-77.53309631347656
9002,9836,small_airport,660.0,NA,-80.88310241699219
9003,9837,heliport,956.0,NA,-83.53459930419922
9004,9838,small_airport,685.0,NA,-96.05280303955078
9005,9840,small_airport,435.0,NA,-123.37000274658205
9006,9841,small_airport,1180.0,NA,-80.18109893798828
9007,9842,heliport,400.0,NA,-75.52349853515625
9008,9843,heliport,1050.0,NA,-97.7842025756836
9009,9844,small_airport,1320.0,NA,-123.177001953125
9010,9845,small_airport,1019.0,NA,-83.604167
9011,9847,heliport,110.0,NA,-98.09420013427734
9012,9849,heliport,1100.0,NA,-120.50599670410156
9013,9850,heliport,812.0,NA,-88.6176986694336
9014,9851,heliport,5886.0,NA,-110.7760009765625
9015,9852,heliport,800.0,NA,-97.934318
9016,9853,small_airport,218.0,NA,-91.95870208740234
9017,9854,heliport,123.0,NA,-149.886482
9018,9855,small_airport,980.0,NA,-157.15199279785156
9019,9856,heliport,1113.0,NA,-85.493436
9020,9857,small_airport,1203.0,NA,-113.222888
9021,9858,seaplane_base,843.0,NA,-89.27100372314453
9022,9859,heliport,1274.0,NA,-117.636211
9023,9860,small_airport,2865.0,NA,-117.6050033569336
9024,9861,heliport,4419.0,NA,-120.628728
9025,9862,small_airport,5660.0,NA,-104.81500244140624
9026,9863,small_airport,1395.0,NA,-97.97949981689452
9027,9864,heliport,65.0,NA,-81.255586
9028,9865,heliport,10.0,NA,-85.69159698486328
9029,9866,small_airport,150.0,NA,-83.31099700927734
9030,9867,heliport,660.0,NA,-84.93440246582031
9031,9868,heliport,450.0,NA,-156.9739990234375
9032,9869,small_airport,835.0,NA,-92.77799987792967
9033,9870,heliport,5149.0,NA,-114.224542
9034,9871,small_airport,880.0,NA,-86.952527
9035,9872,small_airport,959.0,NA,-89.9574966430664
9036,9874,small_airport,1600.0,NA,-98.64939880371094
9037,9875,small_airport,860.0,NA,-84.69029998779297
9038,9877,small_airport,25.0,NA,-92.38899993896484
9039,9878,heliport,55.0,NA,-68.632418
9040,9879,small_airport,845.0,NA,-84.808286
9041,9880,heliport,1166.0,NA,-92.48310089111328
9042,9881,heliport,850.0,NA,-90.53350067138672
9043,9882,small_airport,250.0,NA,-90.294872
9044,9883,small_airport,3750.0,NA,-114.1780014038086
9045,9884,heliport,593.0,NA,-80.845989
9046,9885,heliport,7.0,NA,-77.11810302734375
9047,9886,heliport,12.0,NA,-74.53569793701172
9048,9887,heliport,2102.0,NA,-83.584592
9049,9888,heliport,1656.0,NA,-114.116905
